iteration,seed,Percentage of cleaned tiles,time,movimientos
0,242617418088638165637478567524316407378,0.875,0.045648813247680664,500
1,40770702176587790060793468270611928782,0.8875,0.08353996276855469,500
2,63687353869360296414683828570742310834,0.8,0.12150192260742188,500
3,56144303442694298518106777252270579829,0.9375,0.18076491355895996,500
4,55250988394314639272677583944245696821,0.9125,0.21853995323181152,500
5,117307559215563139180462565673339945382,0.95,0.2587008476257324,500
6,199706487706614674301017205708008280267,0.9375,0.2984278202056885,500
7,143451363411849703601035725358617676465,0.75,0.3381519317626953,500
8,203847883023939324100103436052421199396,0.7375,0.37764978408813477,500
9,58720089832726637519049118619933880841,0.9375,0.4154989719390869,500
10,339258537554035399680072707825048578829,0.875,0.4540748596191406,500
11,136501231638822217225191759841209075166,0.9375,0.49277210235595703,500
12,316388264637561988373310561534662583054,0.925,0.5309560298919678,500
13,106834047104384742160663004733485095908,0.7875,0.5685288906097412,500
14,309311858177909091183109501751928313681,0.9,0.6059808731079102,500
15,58520597948553449628964124621394394238,0.875,0.6436128616333008,500
16,115015478012851951789406486709274773168,0.9125,0.6814799308776855,500
17,229423691983152583171114119453183202371,0.85,0.7190868854522705,500
18,15089307602090452878567936744939189522,0.9125,0.7570490837097168,500
19,179817529392359536939014891609117854635,0.875,0.7966268062591553,500
20,162414595197135708694529581747922499394,0.85,0.8367788791656494,500
21,173251927458729941567313720528836231409,0.8125,0.8771770000457764,500
22,317923747953977080140633306846208170694,0.925,0.9158759117126465,500
23,201528036129615464478980220332546758804,0.7125,0.9536707401275635,500
24,208515287148010797978097587996781282221,0.875,0.9917087554931641,500
25,335090720062787355866200047126565312579,0.9125,1.0292448997497559,500
26,255409023842667881569658362279015705539,0.975,1.0661628246307373,500
27,175367780787922407645771733834541402346,0.875,1.1036059856414795,500
28,331598214696577112295796072578470428421,0.875,1.1412158012390137,500
29,83009489700485227554672720492168946353,0.925,1.1787669658660889,500
30,163049088409700573307715494094888827192,0.975,1.216439962387085,500
31,119948391978411894725661702072535064955,0.8875,1.2540740966796875,500
32,216214686126210889613414480681639523007,0.975,1.2919049263000488,500
33,14049704356315321576829855624288297668,0.9125,1.3294377326965332,500
34,117337617305169832126521343661249644075,0.9125,1.3671679496765137,500
35,109500243144977694130638534260326952792,0.9125,1.404883861541748,500
36,197029079204117835946944039407533072500,0.675,1.4422008991241455,500
37,30020283919470366822929388439893620704,0.9875,1.479119062423706,500
38,227569567159853445706432798676429366483,0.875,1.5168259143829346,500
39,215265711884556222578354617214660738183,0.775,1.554351806640625,500
